"","gas_date","schedule_interval","transmission_id","sched_inj_gj","sched_wdl_gj","price_value","administered_price","actual_wdl_gj","actual_inj_gj","total_gas_used"
"1",2020-12-19,1,225875,497062.316617509,495757.999989994,5.7,NA,NA,NA,NA
"2",2020-12-18,1,225859,469470.000000055,459402.102604696,5.911,NA,395106.696706114,373799.092241336,316
"3",2020-12-17,1,225831,471776.976223903,466192.99998998,6,NA,445914.47449427,441068.050476253,323
"4",2020-12-16,1,225808,488395.983309033,493509.999989992,6,NA,472951.229162521,458258.666714042,317
"5",2020-12-15,1,225780,481549.000000014,488405.254167317,5.7012,NA,440477.353008571,436332.354962022,337
"6",2020-12-14,1,225758,489746.00000004,487276.445009868,6,NA,468696.188866034,482691.961941897,274
"7",2020-12-13,1,225736,516019.370297059,509367.99999,6,NA,492543.794188189,495287.043396562,289
"8",2020-12-12,1,225712,540391.000000029,529286.862143948,6.0855,NA,486526.622707416,500761.468091786,362
"9",2020-12-11,1,225692,544943.705227877,535770.99999,6.3,NA,502568.379717639,518544.136202082,405
"10",2020-12-10,1,225664,544344.983636883,538881.999989984,6.5599,NA,498456.474696327,501388.746833801,375
"11",2020-12-09,1,225623,495096.877934579,495980.999989982,6.5,NA,466506.798097805,458829.133833017,491
"12",2020-12-08,1,225578,563447.919864637,557196.99999001,6.5,NA,547957.902268591,553478.723608404,472
"13",2020-12-07,1,225528,562117.176438118,548015.99999,6.15,NA,550975.198832896,556869.372097101,357
"14",2020-12-06,1,225468,529824.007843554,518807.999990023,6.1,NA,479185.42199314,473469.971089387,308
