"","Date","flow","pipe"
"1",2019-12-19,1596.7,"aplng"
"2",2019-12-20,1521.2,"aplng"
"3",2019-12-21,1530.4,"aplng"
"4",2019-12-22,1593.7,"aplng"
"5",2019-12-23,1611.5,"aplng"
"6",2019-12-24,1580.6,"aplng"
"7",2019-12-25,1598.9,"aplng"
"8",2019-12-26,1605.2,"aplng"
"9",2019-12-27,1614.1,"aplng"
"10",2019-12-28,1589,"aplng"
"11",2019-12-29,1584.5,"aplng"
"12",2019-12-30,1607.8,"aplng"
"13",2019-12-31,1599.6,"aplng"
"14",2020-01-01,1580.2,"aplng"
"15",2020-01-02,1577.1,"aplng"
"16",2020-01-03,1536.7,"aplng"
"17",2020-01-04,1536.4,"aplng"
"18",2020-01-05,1552,"aplng"
"19",2020-01-06,1526.1,"aplng"
"20",2020-01-07,1523.1,"aplng"
"21",2020-01-08,1534.7,"aplng"
"22",2020-01-09,1481.8,"aplng"
"23",2020-01-10,1485.1,"aplng"
"24",2020-01-11,1529.4,"aplng"
"25",2020-01-12,1462.8,"aplng"
"26",2020-01-13,1458,"aplng"
"27",2020-01-14,1509.7,"aplng"
"28",2020-01-15,1503,"aplng"
"29",2020-01-16,1575.5,"aplng"
"30",2020-01-17,1574.9,"aplng"
"31",2020-01-18,1537.2,"aplng"
"32",2020-01-19,1514.6,"aplng"
"33",2020-01-20,1539.1,"aplng"
"34",2020-01-21,1552,"aplng"
"35",2020-01-22,1535.6,"aplng"
"36",2020-01-23,1569.3,"aplng"
"37",2020-01-24,1572.3,"aplng"
"38",2020-01-25,1570.2,"aplng"
"39",2020-01-26,1556.4,"aplng"
"40",2020-01-27,1550.7,"aplng"
"41",2020-01-28,1550.8,"aplng"
"42",2020-01-29,1547.1,"aplng"
"43",2020-01-30,1540.5,"aplng"
"44",2020-01-31,1498.1,"aplng"
"45",2020-02-01,1497.8,"aplng"
"46",2020-02-02,1496.8,"aplng"
"47",2020-02-03,1496.3,"aplng"
"48",2020-02-04,1554.9,"aplng"
"49",2020-02-05,1514.9,"aplng"
"50",2020-02-06,1546.3,"aplng"
"51",2020-02-07,1513.3,"aplng"
"52",2020-02-08,1508.3,"aplng"
"53",2020-02-09,1486.3,"aplng"
"54",2020-02-10,1434.7,"aplng"
"55",2020-02-11,1407.1,"aplng"
"56",2020-02-12,1263.6,"aplng"
"57",2020-02-13,1118.8,"aplng"
"58",2020-02-14,1118.6,"aplng"
"59",2020-02-15,1145.4,"aplng"
"60",2020-02-16,1166.6,"aplng"
"61",2020-02-17,1441.1,"aplng"
"62",2020-02-18,1439.9,"aplng"
"63",2020-02-19,1380.5,"aplng"
"64",2020-02-20,1348.3,"aplng"
"65",2020-02-21,1321.3,"aplng"
"66",2020-02-22,1322.9,"aplng"
