"","Date","Supply","utilisation"
"1",2021-12-14,658.857,59.1
"2",2021-12-15,665.635,59.7
"3",2021-12-16,667.007,59.8
"4",2021-12-17,656.87,58.9
"5",2021-12-18,627.823,56.3
"6",2021-12-19,591.172,53
"7",2021-12-20,614.255,55.1
"8",2021-12-21,612.699,55
"9",2021-12-22,626.012,56.1
"10",2021-12-23,660.768,59.3
"11",2021-12-24,614.247,55.1
"12",2021-12-25,551.465,49.5
"13",2021-12-26,467.697,41.9
"14",2021-12-27,474.798,42.6
"15",2021-12-28,509.709,45.7
"16",2021-12-29,519.639,46.6
"17",2021-12-30,486.326,43.6
"18",2021-12-31,528.249,47.4
"19",2022-01-01,611.115,54.8
"20",2022-01-02,580.471,52.1
"21",2022-01-03,557.936,50
"22",2022-01-04,605.96,54.3
"23",2022-01-05,549.625,49.3
"24",2022-01-06,583.071,52.3
"25",2022-01-07,584.808,52.4
"26",2022-01-08,548.404,49.2
"27",2022-01-09,548.22,49.2
"28",2022-01-10,636.047,57
"29",2022-01-11,663.26,59.5
"30",2022-01-12,683.062,61.3
"31",2022-01-13,686.077,61.5
"32",2022-01-14,657.876,59
"33",2022-01-15,649.74,58.3
"34",2022-01-16,647.852,58.1
"35",2022-01-17,678.453,60.8
"36",2022-01-18,695.807,62.4
"37",2022-01-19,671.379,60.2
"38",2022-01-20,685.299,61.5
"39",2022-01-21,661.104,59.3
"40",2022-01-22,599.634,53.8
"41",2022-01-23,598.044,53.6
"42",2022-01-24,687.72,61.7
"43",2022-01-25,757.683,68
"44",2022-01-26,746.191,66.9
"45",2022-01-27,762.451,68.4
"46",2022-01-28,620.708,55.7
"47",2022-01-29,621.047,55.7
"48",2022-01-30,635.059,57
"49",2022-01-31,624.792,56
"50",2022-02-01,707.286,63.4
"51",2022-02-02,694.785,62.3
"52",2022-02-03,779.775,69.9
"53",2022-02-04,764.494,68.6
"54",2022-02-05,699.723,62.8
"55",2022-02-06,638.149,57.2
"56",2022-02-07,650.515,58.3
"57",2022-02-08,657.91,59
"58",2022-02-09,686.08,61.5
"59",2022-02-10,729.449,65.4
"60",2022-02-11,724.869,65
"61",2022-02-12,659.781,59.2
"62",2022-02-13,679.705,61
"63",2022-02-14,717.266,64.3
"64",2022-02-15,762.3,68.4
"65",2022-02-16,788.598,70.7
"66",2022-02-17,788.353,70.7
"67",2022-02-18,772.932,69.3
"68",2022-02-19,769.922,69.1
"69",2022-02-20,707.307,63.4
"70",2022-02-21,724.172,64.9
"71",2022-02-22,726.204,65.1
"72",2022-02-23,762.374,68.4
"73",2022-02-24,743.677,66.7
"74",2022-02-25,745.148,66.8
"75",2022-02-26,722.631,64.8
"76",2022-02-27,680.724,61.1
"77",2022-02-28,745.579,66.9
"78",2022-03-01,742.608,66.6
"79",2022-03-02,706.377,63.4
"80",2022-03-03,710.557,63.7
"81",2022-03-04,732.695,65.7
"82",2022-03-05,676.207,60.6
"83",2022-03-06,659.455,59.1
"84",2022-03-07,764.026,68.5
"85",2022-03-08,774.485,69.5
"86",2022-03-09,771.856,69.2
"87",2022-03-10,788.908,70.8
"88",2022-03-11,792.826,71.1
"89",2022-03-12,773.661,69.4
"90",2022-03-13,770.664,69.1
"91",2022-03-14,759.183,68.1
"92",2022-03-15,769.466,69
"93",2022-03-16,772.689,69.3
"94",2022-03-17,773.009,69.3
"95",2022-03-18,777.801,69.8
"96",2022-03-19,774.464,69.5
"97",2022-03-20,778.052,69.8
"98",2022-03-21,745.089,66.8
"99",2022-03-22,757.473,67.9
"100",2022-03-23,772.301,69.3
"101",2022-03-24,734.786,65.9
"102",2022-03-25,721.74,64.7
"103",2022-03-26,786.244,70.5
"104",2022-03-27,783.652,70.3
"105",2022-03-28,798.723,71.6
"106",2022-03-29,802.24,71.9
"107",2022-03-30,801.575,71.9
"108",2022-03-31,817.864,73.4
"109",2022-04-01,839.072,75.3
"110",2022-04-02,840.295,75.4
"111",2022-04-03,821.796,73.7
"112",2022-04-04,830.603,74.5
"113",2022-04-05,830.519,74.5
"114",2022-04-06,818.844,73.4
"115",2022-04-07,830.848,74.5
"116",2022-04-08,829.558,74.4
"117",2022-04-09,828.775,74.3
"118",2022-04-10,829.543,74.4
"119",2022-04-11,818.033,73.4
"120",2022-04-12,826.957,74.2
"121",2022-04-13,794.256,71.2
"122",2022-04-14,858.307,77
"123",2022-04-15,818.005,73.4
"124",2022-04-16,755.954,67.8
"125",2022-04-17,780.076,70
"126",2022-04-18,799.683,71.7
"127",2022-04-19,868.592,77.9
"128",2022-04-20,889.688,79.8
"129",2022-04-21,875.054,78.5
"130",2022-04-22,886.996,79.6
"131",2022-04-23,875.544,78.5
"132",2022-04-24,862.276,77.3
"133",2022-04-25,882.986,79.2
"134",2022-04-26,864.381,77.5
"135",2022-04-27,863.45,77.4
"136",2022-04-28,887.989,79.6
"137",2022-04-29,889.711,79.8
"138",2022-04-30,886.695,79.5
"139",2022-05-01,922.942,82.8
"140",2022-05-02,941.189,84.4
"141",2022-05-03,937.224,84.1
"142",2022-05-04,946.507,84.9
"143",2022-05-05,951.126,85.3
"144",2022-05-06,951.523,85.3
"145",2022-05-07,943.784,84.6
"146",2022-05-08,941.633,84.5
"147",2022-05-09,902.333,80.9
"148",2022-05-10,872.609,78.3
"149",2022-05-11,904.502,81.1
"150",2022-05-12,899.197,80.6
"151",2022-05-13,902.22,80.9
"152",2022-05-14,903.782,81.1
"153",2022-05-15,853.324,76.5
