"","Date","flow","pipe"
"1",2019-12-19,43.5,"swqp"
"2",2019-12-20,39,"swqp"
"3",2019-12-21,12.6,"swqp"
"4",2019-12-22,-25.5,"swqp"
"5",2019-12-23,4.3,"swqp"
"6",2019-12-24,36.1,"swqp"
"7",2019-12-25,-25.2,"swqp"
"8",2019-12-26,0.7,"swqp"
"9",2019-12-27,-34.7,"swqp"
"10",2019-12-28,-6.4,"swqp"
"11",2019-12-29,18.7,"swqp"
"12",2019-12-30,97.2,"swqp"
"13",2019-12-31,70.1,"swqp"
"14",2020-01-01,23.1,"swqp"
"15",2020-01-02,-13.2,"swqp"
"16",2020-01-03,-23.8,"swqp"
"17",2020-01-04,-25.8,"swqp"
"18",2020-01-05,-5.3,"swqp"
"19",2020-01-06,0.4,"swqp"
"20",2020-01-07,-35,"swqp"
"21",2020-01-08,-90.1,"swqp"
"22",2020-01-09,-41.9,"swqp"
"23",2020-01-10,-60.1,"swqp"
"24",2020-01-11,-28.4,"swqp"
"25",2020-01-12,-5.4,"swqp"
"26",2020-01-13,-3.1,"swqp"
"27",2020-01-14,-26.3,"swqp"
"28",2020-01-15,-54.5,"swqp"
"29",2020-01-16,-11.4,"swqp"
"30",2020-01-17,-33.3,"swqp"
"31",2020-01-18,-8.8,"swqp"
"32",2020-01-19,-23.5,"swqp"
"33",2020-01-20,-51.6,"swqp"
"34",2020-01-21,-48.4,"swqp"
"35",2020-01-22,-31.8,"swqp"
"36",2020-01-23,-77.2,"swqp"
"37",2020-01-24,-17.1,"swqp"
"38",2020-01-25,-14.9,"swqp"
"39",2020-01-26,9.2,"swqp"
"40",2020-01-27,-19.1,"swqp"
"41",2020-01-28,-65.3,"swqp"
"42",2020-01-29,7.3,"swqp"
"43",2020-01-30,-10.7,"swqp"
"44",2020-01-31,7.7,"swqp"
"45",2020-02-01,-26.3,"swqp"
"46",2020-02-02,-15.8,"swqp"
"47",2020-02-03,-18.5,"swqp"
"48",2020-02-04,-4.6,"swqp"
"49",2020-02-05,67.8,"swqp"
