"","Date","HeldInStorage","Levels","facility"
"1",2022-07-23,25902.333,51.8,"roma"
"2",2022-07-24,25874.953,51.7,"roma"
"3",2022-07-25,25847.069,51.7,"roma"
"4",2022-07-26,25821.342,51.6,"roma"
"5",2022-07-27,25797.75,51.6,"roma"
"6",2022-07-28,25773.048,51.5,"roma"
"7",2022-07-29,25747.601,51.5,"roma"
"8",2022-07-30,25721.584,51.4,"roma"
"9",2022-07-31,25696.309,51.4,"roma"
"10",2022-08-01,25669.414,51.3,"roma"
"11",2022-08-02,25642.772,51.3,"roma"
"12",2022-08-03,25619.189,51.2,"roma"
"13",2022-08-04,25594.546,51.2,"roma"
"14",2022-08-05,25571.478,51.1,"roma"
"15",2022-08-06,25548.303,51.1,"roma"
"16",2022-08-07,25522.524,51,"roma"
"17",2022-08-08,25500.107,51,"roma"
"18",2022-08-09,25473.277,50.9,"roma"
"19",2022-08-10,25448.142,50.9,"roma"
"20",2022-08-11,25422.562,50.8,"roma"
"21",2022-08-12,25397.116,50.8,"roma"
"22",2022-08-13,25371.754,50.7,"roma"
"23",2022-08-14,25348.605,50.7,"roma"
"24",2022-08-15,25325.4,50.7,"roma"
"25",2022-08-16,25318.42,50.6,"roma"
"26",2022-08-17,25295.304,50.6,"roma"
"27",2022-08-18,25276.013,50.6,"roma"
"28",2022-08-19,25245.316,50.5,"roma"
"29",2022-08-20,25220.56,50.4,"roma"
"30",2022-08-21,25196.068,50.4,"roma"
"31",2022-08-22,25171.281,50.3,"roma"
"32",2022-08-23,25144.442,50.3,"roma"
"33",2022-08-24,25117.856,50.2,"roma"
"34",2022-08-25,25090.894,50.2,"roma"
"35",2022-08-26,25064.437,50.1,"roma"
"36",2022-08-27,25037.632,50.1,"roma"
"37",2022-08-28,25010.133,50,"roma"
"38",2022-08-29,24982.502,50,"roma"
"39",2022-08-30,24965.241,49.9,"roma"
"40",2022-08-31,24961.943,49.9,"roma"
"41",2022-09-01,24937.053,49.9,"roma"
"42",2022-09-02,24912.654,49.8,"roma"
"43",2022-09-03,24888.207,49.8,"roma"
"44",2022-09-04,24865.361,49.7,"roma"
"45",2022-09-05,24840.777,49.7,"roma"
"46",2022-09-06,24816.524,49.6,"roma"
"47",2022-09-07,24792.456,49.6,"roma"
"48",2022-09-08,24768.911,49.5,"roma"
"49",2022-09-09,24747.562,49.5,"roma"
"50",2022-09-10,24726.285,49.5,"roma"
